Timestamp,CPU_Usage,Memory_Usage,Disk_IO,Network_IO,Workload_Type,User_ID,Anomaly_Label
2025-07-01 00:00:00,18.88,43.19,11.4,6.01,Database_Query,user_1,0
2025-07-01 00:01:00,25.31,45.43,7.68,17.67,Video_Streaming,user_1,0
2025-07-01 00:02:00,3.87,49.5,14.08,3.48,Database_Query,user_1,0
2025-07-01 00:03:00,20.92,25.88,17.33,4.77,Web_Service,user_1,0
2025-07-01 00:04:00,55.59,43.94,10.61,4.48,Web_Service,user_1,0
2025-07-01 00:05:00,23.99,37.08,6.99,6.85,Web_Service,user_1,0
2025-07-01 00:06:00,24.66,39.94,8.85,5.39,Web_Service,user_1,0
2025-07-01 00:07:00,32.09,20.4,3.36,20.98,Video_Streaming,user_1,0
2025-07-01 00:08:00,86.09,48.82,4.95,3.42,Crypto_Mining,user_1,1
2025-07-01 00:09:00,25.39,50.57,11.72,3.24,Web_Service,user_1,0
2025-07-01 00:10:00,35.82,48.88,14.47,5.75,Web_Service,user_1,0
2025-07-01 00:11:00,21.61,36.91,11.66,5.98,Web_Service,user_1,0
2025-07-01 00:12:00,28.22,35.9,15.9,4.1,Database_Query,user_1,0
2025-07-01 00:13:00,29.28,50.04,11.81,16.77,Video_Streaming,user_1,0
2025-07-01 00:14:00,44.95,43.38,26.86,15.4,Video_Streaming,user_1,0
2025-07-01 00:15:00,30.87,37.01,10.46,3.01,Database_Query,user_1,0
2025-07-01 00:16:00,82.33,25.05,6.05,5.74,Crypto_Mining,user_1,1
2025-07-01 00:17:00,21.92,34.98,14.58,5.33,Web_Service,user_1,0
2025-07-01 00:18:00,43.72,80.88,31.91,5.67,Backup,user_1,0
2025-07-01 00:19:00,26.08,25.36,11.48,5.26,Web_Service,user_1,0
2025-07-01 00:20:00,3.45,43.46,8.02,4.71,Web_Service,user_1,0
2025-07-01 00:21:00,28.39,44.04,19.43,5.17,Database_Query,user_1,0
2025-07-01 00:22:00,29.81,23.26,4.64,4.01,Database_Query,user_1,0
2025-07-01 00:23:00,30.6,64.63,9.04,5.3,Web_Service,user_1,0
2025-07-01 00:24:00,33.4,39.93,13.84,3.85,Web_Service,user_1,0
2025-07-01 00:25:00,37.91,30.91,17.01,12.99,Video_Streaming,user_1,0
2025-07-01 00:26:00,21.19,40.77,7.53,24.62,Video_Streaming,user_1,0
2025-07-01 00:27:00,31.0,34.97,2.25,5.07,Web_Service,user_1,0
2025-07-01 00:28:00,35.36,30.85,13.1,19.2,Video_Streaming,user_1,0
2025-07-01 00:29:00,22.17,36.78,14.07,3.77,Web_Service,user_1,0
2025-07-01 00:30:00,43.64,92.7,31.76,4.79,Backup,user_1,0
2025-07-01 00:31:00,32.6,83.91,22.63,3.68,Backup,user_1,0
2025-07-01 00:32:00,36.18,52.17,11.13,24.24,Video_Streaming,user_1,0
2025-07-01 00:33:00,32.93,32.86,19.33,5.47,Web_Service,user_1,0
2025-07-01 00:34:00,37.35,30.46,6.24,14.35,Video_Streaming,user_1,0
2025-07-01 00:35:00,39.63,44.13,14.11,29.48,Video_Streaming,user_1,0
2025-07-01 00:36:00,16.3,32.28,14.39,4.76,Web_Service,user_1,0
2025-07-01 00:37:00,30.13,54.54,8.68,33.6,Video_Streaming,user_1,0
2025-07-01 00:38:00,20.37,49.77,10.21,4.86,Web_Service,user_1,0
2025-07-01 00:39:00,27.77,47.14,12.37,4.93,Web_Service,user_1,0
2025-07-01 00:40:00,82.74,47.77,15.23,4.66,Crypto_Mining,user_1,1
2025-07-01 00:41:00,32.14,27.54,10.87,5.39,Database_Query,user_1,0
2025-07-01 00:42:00,32.31,31.91,15.29,5.05,Database_Query,user_1,0
2025-07-01 00:43:00,40.83,50.54,3.11,15.31,Video_Streaming,user_1,0
2025-07-01 00:44:00,33.04,81.29,35.24,5.87,Backup,user_1,0
